week_start,country,series,revenue_eur,lower_80,upper_80
2024-09-15,IT,actual,3427.61,,
2024-09-22,IT,actual,4994.78,,
2024-09-29,IT,actual,5503.73,,
2024-10-06,IT,actual,3768.72,,
2024-10-13,IT,actual,4683.29,,
2024-10-20,IT,actual,5313.48,,
2024-10-27,IT,actual,4572.91,,
2024-11-03,IT,actual,4304.57,,
2024-11-10,IT,actual,5585.38,,
2024-11-17,IT,actual,4564.6,,
2024-11-24,IT,actual,5278.51,,
2024-12-01,IT,actual,6683.55,,
2024-12-08,IT,actual,6888.55,,
2024-12-15,IT,actual,7435.8,,
2024-12-22,IT,actual,8354.09,,
2024-12-29,IT,actual,7125.28,,
2025-01-05,IT,actual,7522.32,,
2025-01-12,IT,actual,6479.21,,
2025-01-19,IT,actual,7465.67,,
2025-01-26,IT,actual,6166.85,,
2025-02-02,IT,actual,8841.69,,
2025-02-09,IT,actual,7797.7,,
2025-02-16,IT,actual,5650.37,,
2025-02-23,IT,actual,7420.95,,
2025-03-02,IT,actual,8183.68,,
2025-03-09,IT,actual,10672.61,,
2025-03-16,IT,actual,7477.31,,
2025-03-23,IT,actual,8278.46,,
2025-03-30,IT,actual,5195.72,,
2025-04-06,IT,actual,5685.68,,
2025-04-13,IT,actual,5582.7,,
2025-04-20,IT,actual,5763.72,,
2025-04-27,IT,actual,5181.24,,
2025-05-04,IT,actual,5327.56,,
2025-05-11,IT,actual,5104.92,,
2025-05-18,IT,actual,5084.04,,
2025-05-25,IT,actual,5898.36,,
2025-06-01,IT,actual,5327.59,,
2025-06-08,IT,actual,4701.31,,
2025-06-15,IT,actual,5601.24,,
2025-06-22,IT,actual,5958.18,,
2025-06-29,IT,actual,5915.03,,
2025-07-06,IT,actual,7835.38,,
2025-07-13,IT,actual,8946.43,,
2025-07-20,IT,actual,6339.02,,
2025-07-27,IT,actual,7951.97,,
2025-08-03,IT,actual,9634.43,,
2025-08-10,IT,actual,7817.58,,
2025-08-17,IT,actual,7934.33,,
2025-08-24,IT,actual,8278.21,,
2025-08-31,IT,actual,6894.83,,
2025-09-07,IT,actual,9820.56,,
2025-09-14,IT,actual,13509.12,,
2025-09-21,IT,actual,16656.13,,
2025-09-28,IT,actual,12130.98,,
2025-10-05,IT,actual,12082.56,,
2025-10-12,IT,actual,10108.61,,
2025-10-19,IT,actual,7858.07,,
2025-10-26,IT,actual,9642.54,,
2025-11-02,IT,actual,10351.22,,
2025-11-09,IT,actual,9990.53,,
2025-11-16,IT,actual,10231.38,,
2025-11-23,IT,actual,10725.63,,
2025-11-30,IT,actual,12543.97,,
2025-12-07,IT,actual,14024.17,,
2025-12-14,IT,actual,14259.27,,
2025-12-21,IT,actual,18680.72,,
2025-12-28,IT,actual,16260.77,,
2026-01-04,IT,actual,12548.22,,
2026-01-11,IT,actual,12652.14,,
2026-01-18,IT,actual,11486.61,,
2026-01-25,IT,actual,10437.52,,
2026-02-01,IT,actual,10451.84,,
2026-02-08,IT,actual,12531.17,,
2026-02-15,IT,actual,12097.23,,
2026-02-22,IT,actual,12884.09,,
2026-03-01,IT,actual,10830.84,,
2026-03-08,IT,actual,15832.17,,
2026-03-15,IT,actual,17657.33,,
2026-03-22,IT,actual,12641.86,,
2026-03-29,IT,actual,11217.33,,
2026-04-05,IT,actual,10983.96,,
2026-04-12,IT,actual,10699.03,,
2026-04-19,IT,actual,8654.04,,
2026-04-26,IT,actual,9516.6,,
2026-05-03,IT,actual,9753.28,,
2026-05-10,IT,actual,8324.51,,
2026-05-17,IT,actual,10332.67,,
2026-05-24,IT,actual,8010.34,,
2026-05-31,IT,actual,8633.24,,
2026-06-07,IT,actual,7859.61,,
2026-06-14,IT,actual,8632.35,,
2026-06-21,IT,actual,10701.7,,
2026-06-28,IT,actual,10996.42,,
2026-07-05,IT,actual,11071.49,,
2026-07-12,IT,actual,11731.5,,
2026-07-19,IT,actual,10447.36,,
2026-07-26,IT,actual,12210.08,,
2026-08-02,IT,actual,10620.58,,
2026-08-09,IT,actual,10990.26,,
2026-08-16,IT,actual,12629.95,,
2026-08-23,IT,actual,15667.34,,
2026-08-30,IT,forecast,14112.0288,11816.3342,16428.5505
2026-09-06,IT,forecast,15063.4363,12757.1991,17377.3887
2026-09-13,IT,forecast,19041.0933,16782.2016,21307.7437
2026-09-20,IT,forecast,24626.3536,22330.2378,26898.9935
2026-09-27,IT,forecast,18473.2347,16191.1405,20790.1773
2026-10-04,IT,forecast,16669.185,14371.3991,18929.0279
2026-10-11,IT,forecast,15992.4788,13675.8369,18320.7473
2026-10-18,IT,forecast,15096.0043,12750.5666,17399.2539
2026-10-25,IT,forecast,14322.6275,12028.2549,16558.3485
2026-11-01,IT,forecast,14040.8047,11688.8,16373.893
2026-11-08,IT,forecast,14520.6102,12200.8791,16849.2444
2026-11-15,IT,forecast,15825.6631,13508.0018,18074.0498
2026-11-22,IT,forecast,15951.8568,13598.9944,18221.7013
2026-11-29,IT,forecast,18628.7218,16307.9875,20867.3534
2026-12-06,IT,forecast,20725.4468,18390.8299,23083.2663
2026-12-13,IT,forecast,21080.112,18782.0523,23359.7421
2026-12-20,IT,forecast,25945.3519,23625.9394,28286.4183
